sampleID	stn	lat	lon	obstime	Salin	Temp	chla	Ptot	Ntot	PO4	pH	NH4	NO3	dist	stnDepth
4472	125	60.098	24.892	1967-08-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4473	125	60.098	24.892	1967-08-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
17291	87	60.193	24.848	1967-08-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17292	87	60.193	24.848	1967-08-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3802	68	60.136	24.86	1967-08-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4474	125	60.098	24.892	1967-08-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
17186	81	60.183	24.841	1967-08-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17293	87	60.193	24.848	1967-08-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3803	68	60.136	24.86	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3805	68	60.136	24.86	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3806	68	60.136	24.86	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4154	107	60.113	24.768	1967-09-04	5.88	15.7	NA	1.613	NA	0.71	8.4	5.714	0.714	1666	18
4475	125	60.098	24.892	1967-09-04	5.88	15.5	NA	NA	NA	0.323	7.9	0	0.714	5727	28
4476	125	60.098	24.892	1967-09-04	5.88	15.5	NA	0.516	NA	0.516	7.9	5.714	0.714	5727	28
4477	125	60.098	24.892	1967-09-04	5.88	15.5	NA	0.516	NA	0.516	7.9	5.714	0.714	5727	28
16949	75	60.158	24.831	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17187	81	60.183	24.841	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17294	87	60.193	24.848	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17295	87	60.193	24.848	1967-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17296	87	60.193	24.848	1967-09-04	5.3	16.5	NA	9.677	NA	1.839	8.9	4.286	0.5	423	3.5
19201	124	60.118	24.811	1967-09-04	5.88	15.7	NA	0.774	NA	0.774	7.9	0	0.714	3747	24.2
2619	36	60.147	25.137	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	2665	33
3349	114	60.082	25.125	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	8515	47
3807	68	60.136	24.86	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3808	68	60.136	24.86	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3809	68	60.136	24.86	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4478	125	60.098	24.892	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4479	125	60.098	24.892	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4480	125	60.098	24.892	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
15909	4	60.193	24.991	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	329	2.5
16406	25	60.193	25.087	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	331	5
18164	111	60.194	25.195	1967-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	690	13
17297	87	60.193	24.848	1967-09-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17298	87	60.193	24.848	1967-09-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17299	87	60.193	24.848	1967-09-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17300	87	60.193	24.848	1967-09-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3810	68	60.136	24.86	1967-09-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3811	68	60.136	24.86	1967-09-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3812	68	60.136	24.86	1967-09-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4481	125	60.098	24.892	1967-09-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4482	125	60.098	24.892	1967-09-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4483	125	60.098	24.892	1967-09-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
17799	92	60.175	24.878	1967-09-25	5.41	13.7	NA	10.645	NA	4.839	8.2	5.714	1.071	1305	14.3
3813	68	60.136	24.86	1967-09-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3815	68	60.136	24.86	1967-09-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3816	68	60.136	24.86	1967-09-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4155	107	60.113	24.768	1967-09-28	5.46	13.4	NA	1.323	NA	0.419	NA	NA	0.714	1666	18
4484	125	60.098	24.892	1967-09-28	5.43	14.2	NA	1.387	NA	0.419	NA	NA	0.714	5727	28
4485	125	60.098	24.892	1967-09-28	5.43	14.2	NA	1.323	NA	0.387	NA	NA	0.714	5727	28
4486	125	60.098	24.892	1967-09-28	5.43	14.2	NA	1.323	NA	0.387	NA	NA	0.714	5727	28
4487	125	60.098	24.892	1967-09-28	5.43	14.2	NA	1.323	NA	0.387	NA	NA	0.714	5727	28
16950	75	60.158	24.831	1967-09-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17188	81	60.183	24.841	1967-09-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17301	87	60.193	24.848	1967-09-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17302	87	60.193	24.848	1967-09-28	5.03	12.8	NA	19.355	NA	14.839	NA	NA	2.5	423	3.5
19202	124	60.118	24.811	1967-09-28	5.48	13.7	NA	1.677	NA	0.871	NA	NA	0.714	3747	24.2
3862	68	60.136	24.86	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3863	68	60.136	24.86	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3864	68	60.136	24.86	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3866	68	60.136	24.86	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3867	68	60.136	24.86	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4518	125	60.098	24.892	1968-06-04	5.5	9.25	NA	1.21	NA	NA	8.65	1.786	0.714	5727	28
4519	125	60.098	24.892	1968-06-04	5.5	9.3	NA	1.032	NA	NA	8.7	3.571	0.714	5727	28
4520	125	60.098	24.892	1968-06-04	5.5	9.2	NA	1.387	NA	NA	8.6	0	0.714	5727	28
4521	125	60.098	24.892	1968-06-04	5.5	9.2	NA	1.387	NA	NA	8.6	0	0.714	5727	28
16960	75	60.158	24.831	1968-06-04	5.35	12	NA	2.194	NA	0.323	9	0	0.714	649	8
16961	75	60.158	24.831	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17315	87	60.193	24.848	1968-06-04	3.95	18	NA	15.806	NA	11.29	9.7	3.571	1.429	423	3.5
17316	87	60.193	24.848	1968-06-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17317	87	60.193	24.848	1968-06-04	4.49	14.7	NA	18.71	NA	13.226	8.9	40	0.714	423	3.5
