"pel"	"year"	"mon"	"var"	"value"	"time"
"241"	0	1999	8	"ntot"	473.636363636364	1999.62092154421
"242"	0	1999	8	"ptot"	41.0909090909091	1999.62092154421
"243"	0	1999	9	"ntot"	535.714285714286	1999.70215264188
"244"	0	1999	9	"ptot"	45.8571428571429	1999.70215264188
"245"	0	2000	6	"ntot"	624.285714285714	2000.44847775176
"246"	0	2000	6	"ptot"	39.5714285714286	2000.44847775176
"247"	0	2000	7	"ntot"	556	2000.54393442623
"248"	0	2000	7	"ptot"	41.88	2000.54393442623
"249"	0	2000	8	"ntot"	598.75	2000.64105191257
"250"	0	2000	8	"ptot"	42.375	2000.64105191257
"251"	0	2000	9	"ntot"	507.142857142857	2000.71545667447
"252"	0	2000	9	"ptot"	33.7142857142857	2000.71545667447
"253"	0	2001	6	"ntot"	545.714285714286	2001.44109589041
"254"	0	2001	6	"ptot"	42.5714285714286	2001.44109589041
"255"	0	2001	7	"ntot"	730.47619047619	2001.53033268102
"256"	0	2001	7	"ptot"	46.5238095238095	2001.53033268102
"257"	0	2001	8	"ntot"	542	2001.63178082192
"258"	0	2001	8	"ptot"	41.4	2001.63178082192
"259"	0	2001	9	"ntot"	1124.28571428571	2001.71037181996
"260"	0	2001	9	"ptot"	77.8571428571429	2001.71037181996
"261"	0	2002	6	"ntot"	504.285714285714	2002.44187866928
"262"	0	2002	6	"ptot"	47.1428571428571	2002.44187866928
"263"	0	2002	7	"ntot"	719.52380952381	2002.51258969341
"264"	0	2002	7	"ptot"	57.8095238095238	2002.51258969341
"265"	0	2002	8	"ntot"	683.076923076923	2002.62592202318
"266"	0	2002	8	"ptot"	61.1538461538462	2002.62592202318
"267"	0	2002	9	"ntot"	740	2002.6904109589
"268"	0	2002	9	"ptot"	64.7142857142857	2002.6904109589
"269"	0	2003	6	"ntot"	532.857142857143	2003.43757338552
"270"	0	2003	6	"ptot"	42	2003.43757338552
"271"	0	2003	7	"ntot"	515.238095238095	2003.51350293542
"272"	0	2003	7	"ptot"	38.4285714285714	2003.51350293542
"273"	0	2003	8	"ntot"	610.909090909091	2003.60747198007
"274"	0	2003	8	"ptot"	60.0909090909091	2003.60747198007
"275"	0	2003	9	"ntot"	512.857142857143	2003.70410958904
"276"	0	2003	9	"ptot"	47	2003.70410958904
"277"	0	2004	6	"ntot"	551.538461538462	2004.45838587642
"278"	0	2004	6	"ptot"	54.1538461538462	2004.45838587642
"279"	0	2004	7	"ntot"	966.666666666667	2004.54635701275
