sampleID	valid_AphiaID	ww
2487	115090	47.464
2487	5	67.347
2487	179320	58.432
2487	118051	8.348
2487	109603	44.52
2487	109475	14.84
2487	109477	32.711
2487	109538	1.484
2487	109538	1.484
2487	110155	3.71
2487	160553	1.026
2487	571996	38.484
2487	555951	2.085
2487	163474	2.566
2487	388485	37.201
2487	160599	67.347
2487	149297	2.95
2487	160524	6.414
2487	341285	0.321
2487	149287	0.834
2487	149074	8.98
2487	149014	1.336
2487	17657	9.621
2487	163247	1.113
2487	134566	0.321
2487	134529	25.592
2487	18526	8.98
2487	178623	3.207
2487	160591	4.002
2487	248141	25.656
2487	178936	38.484
2487	580116	0.924
2488	177484	22.577
2488	146546	0.539
2488	249690	0.106
2488	146585	0.001
2488	146585	6.583
2488	609460	187.368
2488	160567	0.002
2488	160566	140.526
2488	156692	0.008
2488	17640	34.071
2488	17640	17.959
2488	17640	10.262
2488	115090	1.539
2488	115090	19.499
2488	5	21.551
2488	179320	36.925
2488	118051	40.828
2488	109603	58.236
2488	109477	23.09
2488	109538	4.22
2488	163474	0.513
2488	388485	24.63
2488	160599	10.262
2488	341285	0.103
2488	156690	20.256
2488	17657	52.338
2488	134529	3.079
2488	134529	59.625
2488	18526	3.079
2488	160591	0.6
2488	580116	0.508
2489	177484	65.127
2489	609460	214.895
2489	160567	0.002
2489	160566	10.225
2489	156692	0.008
2489	17640	7.45
2489	17640	18.995
2489	115090	5.181
2489	5	10.854
2489	179320	92.597
2489	118051	5.113
2489	109603	73.038
2489	156505	0.812
2489	840689	0.576
2489	109477	42.184
2489	109538	4.22
2489	109538	2.11
2489	110321	8.115
2489	110155	1.623
2489	110210	1.177
2489	110223	2.029
2489	571996	3.7
2489	388485	21.216
2489	160599	4.934
2489	149297	0.112
2489	465524	0.123
2489	163063	2.313
2489	160524	6.33
2489	341285	0.025
2489	149271	7.304
2489	156690	2.597
2489	149142	2.467
2489	17657	0.74
2489	134529	13.642
2489	18526	0.493
2489	160591	0.064
2489	248141	22.202
2489	178936	29.603
2489	580116	0.977
2491	146564	5.482
2491	177138	3.508
2491	177480	4.385
2491	146546	0.987
2491	249690	0.33
2491	609460	13.242
2491	160567	0.002
2491	17640	1.842
2491	17640	7.236
2491	17640	2.193
2491	115090	12.389
2491	5	27.189
2491	5	10.525
2491	179320	48.943
2491	118051	19.263
2491	109603	35.958
2491	109475	14.033
2491	109475	1.142
2491	109475	14.269
2491	840689	2.026
2491	109477	1.316
2491	110156	255.705
2491	110155	1.427
2491	1380043	276.966
2491	1380043	62.214
2491	110208	57.077
2491	110210	37.243
2491	110223	110.587
2491	160553	6.315
2491	248110	1.096
2491	388485	28.066
2491	149297	10.086
2491	163063	18.638
2491	160524	1.316
2491	341285	0.219
2491	149074	533.372
2491	156690	22.831
2491	156690	25.685
2491	163624	5.701
2491	149014	0.228
2491	671422	3.202
2491	149150	0.658
2491	17657	22.365
2491	134529	0.307
2491	178583	0.658
2491	178583	2.193
2491	732333	1.754
2491	160591	7.582
2491	580116	0.631
2492	177138	3.947
2492	177484	0.169
2492	146644	3.7
2492	146546	1.184
2492	162673	34.537
2492	249690	0.626
2492	177588	0.115
2492	609460	18.954
2492	160567	0.002
2492	17640	1.727
2492	17640	8.388
2492	17640	2.467
2492	115090	8.881
2492	5	40.951
2492	5	5.921
2492	179320	37.019
2492	118051	24.75
2492	109603	9.231
2492	109475	7.231
2492	109475	3.846
2492	840689	2.185
2492	109477	0.74
2492	109477	1.446
2492	110155	7.308
2492	1380043	4.269
2492	1380043	0.308
2492	110208	8.923
2492	110210	1.673
2492	110223	1.923
2492	157246	0.023
2492	160553	2.368
2492	345524	0.493
2492	248172	13.075
2492	248110	1.233
2492	388485	28.616
2492	148985	0.493
2492	149297	5.674
2492	163063	44.405
2492	160524	25.903
2492	149074	0.863
2492	156690	2.462
2492	156690	3.692
2492	149150	0.37
2492	17657	1.48
2492	134529	0.173
2492	178583	1.233
2492	178583	12.335
2492	732333	0.987
2492	248104	0.615
2492	178623	0.617
2492	160591	2.63
2493	12	68.212
2493	627627	0.029
2493	146546	0.046
2493	162673	0.224
2493	625374	49.824
2493	609460	36.096
2493	160566	90.816
2493	177590	2.014
2493	17640	2.76
2493	17640	24.263
2493	17640	1.92
2493	115090	1.373
2493	115090	4.12
2493	5	0.064
2493	5	2.747
2493	19542	0.16
2493	118051	12.96
2493	109603	2.88
2493	109475	2.08
2493	109477	7.325
2493	109538	0.128
2493	110155	0.8
2493	249721	0.72
2493	388485	17.396
2493	162877	1.008
2493	149074	0.672
2493	149014	0.08
2493	17657	1.584
2493	134529	4.12
2493	134529	41.019
2493	160591	0.179
2493	163101	0.137
2493	248141	1.32
2496	12	36.182
2496	146645	61.6
2496	146546	0.733
2496	162673	6.72
2496	162673	26.4
2496	609460	11.52
2496	177590	4.03
2496	17640	24.8
2496	17640	7.328
2496	17640	15.2
2496	115090	16.488
2496	5	27.48
2496	118051	32.4
2496	109538	688
2496	109538	46.72
2496	109538	156.8
2496	110156	296.8
2496	110155	40
2496	110208	9.6
2496	388485	56.792
2496	160599	82.44
2496	160524	650.36
2496	149074	375.102
2496	149075	25.648
2496	148912	0.275
2496	156690	124.8
2496	17657	24.48
2496	17657	5.28
2496	160591	7.026
2496	248141	4
2500	12	17.402
2500	177484	26.752
2500	162673	14.784
2500	162673	17.84
2500	609460	7.424
2500	160567	NA
2500	115090	0.458
2500	5	17.402
2500	5	8.243
2500	118051	28.8
2500	109603	21.12
2500	109473	66.404
2500	109475	1.6
2500	156511	12.8
2500	109538	5.496
2500	109538	138.24
2500	110156	228.48
2500	110155	20.8
2500	388485	133.266
2500	160599	82.433
2500	149120	2.24
2500	160524	93.424
2500	149074	298.132
2500	156690	5.12
2500	156690	13.44
2500	134529	4.122
2500	134529	5.931
2500	160591	2.352
2500	248141	2.72
2501	12	16.258
2501	177484	146.432
2501	162673	0.896
2501	162673	2.16
2501	146585	3.12
2501	609460	66.048
2501	160567	0.002
2501	17640	176.315
2501	17640	37.324
2501	115090	2.061
2501	118051	28.8
2501	109603	34.56
2501	109473	25.188
2501	109538	1.6
2501	109538	12.823
2501	109538	0.64
2501	110156	2.24
2501	110208	0.64
2501	388485	1.374
2501	160599	20.608
2501	17657	2.061
2501	134529	15.8
2501	134529	12.021
2501	160591	0.357
2501	248141	12.32
2501	838103	0.527
2502	12	22.44
2502	177484	191.488
2502	162673	0.04
2502	609460	18.432
2502	160567	NA
2502	17640	141.968
2502	17640	51.292
2502	115090	1.832
2502	118051	1.8
2502	109603	142.08
2502	109473	18.318
2502	109538	14.655
2502	110155	2.4
2502	388485	1.832
2502	160599	38.927
2502	149120	0.72
2502	160524	20.608
2502	156690	14.4
2502	134529	12.365
2502	134529	2.885
2502	160591	0.179
2502	248141	2.92
2503	12	32.973
2503	177484	692.736
2503	609460	16.896
2503	160567	NA
2503	160566	51.84
2503	17640	451.091
2503	17640	123.649
2503	115090	8.243
2503	118051	100.8
2503	109603	76.8
2503	109473	228.98
2503	388485	1.832
2503	160599	25.188
2503	149120	10.752
